"","Product ID","Type","Air temperature [K]","Process temperature [K]","Rotational speed [rpm]","Torque [Nm]"
"5042","H34454","H","304.1","313.2","1586","34.6"
"5043","L52221","L","304.0","313.2","1314","47.1"
"5044","L52222","L","304.1","313.2","1569","35.8"
"5045","L52223","L","304.1","313.2","1468","39.4"
"5046","L52224","L","304.1","313.2","1412","47.5"
"5047","M19905","M","304.1","313.2","1510","46.9"
"5048","M19906","M","304.1","313.2","1410","42.4"
"5049","M19907","M","304.1","313.3","1680","29.3"
"5050","H34462","H","304.0","313.2","1271","68.6"
"5051","H34463","H","304.0","313.1","1472","45.5"
"5052","H34464","H","304.0","313","1701","30.4"
"5053","L52231","L","303.9","313","1480","39.9"
"5054","L52232","L","303.9","313","1433","48.4"
"5055","L52233","L","303.8","312.9","1514","34.3"
"5056","L52234","L","303.8","312.9","1619","35.7"
"5057","H34469","H","303.8","312.9","1378","45.6"
"5058","M19916","M","303.9","312.9","1430","53.5"
"5059","L52237","L","303.8","312.9","1367","49.9"
"5060","L52238","L","303.9","312.9","1526","42.5"
"5061","L52239","L","303.9","312.8","1419","47.9"
"5062","L52240","L","304.0","312.8","1542","42.7"
"5063","L52241","L","304.0","312.9","1363","62.5"
"5064","L52242","L","304.0","312.9","1313","53.9"
"5065","H34477","H","304.0","312.9","1495","46.6"
"5066","L52244","L","304.0","313","1407","42.1"
"5067","L52245","L","304.1","313","1566","37.2"
"5068","L52246","L","304.1","313.1","1550","30.9"
"5069","M19927","M","304.2","313.2","1396","50.5"
"5070","M19928","M","304.3","313.3","1540","39.0"
"5071","M19929","M","304.2","313.2","1380","48.7"
"5072","M19930","M","304.2","313.1","1608","31.1"
"5073","H34485","H","304.2","313","1442","40.9"
"5074","L52252","L","304.1","313","1408","45.3"
"5075","M19933","M","304.0","313","1454","46.8"
"5076","L52254","L","304.1","313.1","1666","34.6"
"5077","L52255","L","304.1","313.2","1366","46.6"
"5078","L52256","L","304.2","313.2","1464","44.9"
"5079","L52257","L","304.3","313.3","1775","24.9"
"5080","M19938","M","304.3","313.4","1482","43.8"
"5081","M19939","M","304.2","313.4","1411","54.8"
"5082","L52260","L","304.2","313.3","1410","51.6"
"5083","M19941","M","304.1","313.3","1494","39.0"
"5084","H34496","H","304.1","313.2","1590","43.4"
"5085","L52263","L","304.1","313.1","1327","54.1"
"5086","L52264","L","304.1","313.1","1969","20.8"
"5087","M19945","M","304.0","313","1377","56.0"
"5088","L52266","L","304.0","313","1541","45.9"
"5089","M19947","M","304.0","313","1685","28.2"
"5090","L52268","L","304.0","313.1","1465","41.0"
"5091","M19949","M","303.9","313.1","1483","47.2"
"5092","M19950","M","303.9","313.2","1570","40.7"
"5093","L52271","L","303.9","313.2","1345","48.2"
"5094","M19952","M","303.9","313.2","1608","40.6"
"5095","M19953","M","304.0","313.3","1415","52.8"
"5096","M19954","M","304.1","313.5","1470","45.8"
"5097","M19955","M","304.1","313.5","1428","39.9"
"5098","H34510","H","304.2","313.5","1627","32.2"
"5099","L52277","L","304.2","313.4","1457","49.4"
"5100","L52278","L","304.2","313.4","1475","40.2"
"5101","L52279","L","304.2","313.5","1438","50.1"
"5102","M19960","M","304.2","313.5","1437","47.2"
"5103","M19961","M","304.1","313.4","1518","42.4"
"5104","M19962","M","304.1","313.5","1587","33.6"
"5105","L52283","L","304.1","313.4","1399","43.7"
"5106","L52284","L","304.1","313.5","1469","44.6"
"5107","L52285","L","304.1","313.4","1374","56.6"
"5108","L52286","L","304.0","313.3","1519","36.7"
"5109","L52287","L","303.9","313.2","1540","44.4"
"5110","L52288","L","303.9","313.3","1394","51.6"
"5111","M19969","M","304.0","313.4","1389","45.8"
"5112","M19970","M","304.0","313.5","1732","26.2"
"5113","L52291","L","304.1","313.6","1556","37.4"
"5114","M19972","M","304.1","313.6","1441","43.7"
"5115","L52293","L","304.1","313.6","1382","46.7"
"5116","M19974","M","304.2","313.8","1481","44.9"
"5117","M19975","M","304.2","313.7","2113","18.4"
"5118","L52296","L","304.2","313.8","1401","53.9"
"5119","L52297","L","304.1","313.6","1611","31.4"
"5120","M19978","M","304.2","313.6","1512","33.4"
"5121","L52299","L","304.2","313.6","1411","46.0"
"5122","M19980","M","304.2","313.6","1424","43.7"
"5123","L52301","L","304.2","313.6","1469","40.0"
"5124","H34536","H","304.2","313.5","1684","29.8"
"5125","M19983","M","304.2","313.5","1532","41.3"
"5126","M19984","M","304.2","313.5","1557","37.3"
"5127","M19985","M","304.3","313.5","1416","48.1"
"5128","L52306","L","304.3","313.5","1802","25.4"
"5129","M19987","M","304.3","313.5","2245","15.1"
"5130","L52308","L","304.2","313.4","1434","42.5"
"5131","M19989","M","304.1","313.3","1725","28.3"
"5132","L52310","L","304.2","313.3","1668","35.7"
"5133","L52311","L","304.1","313.3","1452","43.9"
"5134","L52312","L","304.1","313.3","1415","50.0"
"5135","L52313","L","304.1","313.2","1824","25.8"
"5136","L52314","L","304.1","313.3","1438","45.5"
"5137","L52315","L","304.1","313.3","1883","24.5"
"5138","L52316","L","304.2","313.4","1735","28.9"
"5139","L52317","L","304.3","313.5","1464","36.7"
"5140","M19998","M","304.3","313.6","1489","40.3"
"5141","M19999","M","304.4","313.6","1510","38.9"
"5142","M20000","M","304.3","313.6","1585","32.1"
"5143","L52321","L","304.4","313.7","1509","35.0"
"5144","L52322","L","304.4","313.6","1568","39.1"
"5145","M20003","M","304.3","313.5","1525","42.0"
"5146","L52324","L","304.4","313.7","1607","33.5"
"5147","L52325","L","304.5","313.7","1670","32.9"
"5148","L52326","L","304.4","313.6","1585","38.9"
"5149","L52327","L","304.4","313.6","1569","38.4"
"5150","L52328","L","304.4","313.6","1507","43.1"
"5151","L52329","L","304.3","313.5","1452","41.5"
"5152","L52330","L","304.3","313.5","1590","29.8"
"5153","L52331","L","304.3","313.6","1409","56.0"
"5154","L52332","L","304.3","313.5","2643","12.7"
"5155","L52333","L","304.2","313.4","1644","31.7"
"5156","L52334","L","304.2","313.4","1568","37.6"
"5157","H34569","H","304.2","313.3","1625","37.3"
"5158","L52336","L","304.2","313.4","1482","41.4"
"5159","H34571","H","304.1","313.3","1397","49.6"
"5160","L52338","L","304.1","313.3","1459","50.3"
"5161","L52339","L","304.2","313.4","1490","44.0"
"5162","L52340","L","304.1","313.2","1434","50.1"
"5163","M20021","M","304.1","313.2","2028","18.9"
"5164","L52342","L","304.2","313.3","1464","45.9"
"5165","M20023","M","304.2","313.4","1713","23.5"
"5166","M20024","M","304.3","313.4","1624","32.1"
"5167","L52345","L","304.2","313.4","1421","43.4"
"5168","H34580","H","304.2","313.5","1546","41.4"
"5169","L52347","L","304.2","313.4","1639","32.7"
"5170","H34582","H","304.1","313.4","1696","29.6"
"5171","L52349","L","304.1","313.3","1470","39.9"
"5172","M20030","M","304.1","313.3","1480","38.4"
"5173","M20031","M","304.2","313.4","1329","54.5"
"5174","L52352","L","304.2","313.4","1740","28.2"
"5175","M20033","M","304.2","313.5","1739","28.1"
"5176","M20034","M","304.2","313.5","1390","47.8"
"5177","L52355","L","304.2","313.4","1740","23.7"
"5178","M20036","M","304.0","313.3","1844","27.1"
"5179","H34591","H","304.0","313.1","1388","53.2"
"5180","H34592","H","304.0","313.2","1517","43.1"
"5181","M20039","M","304.0","313.1","1450","42.8"
"5182","L52360","L","304.0","313.2","1584","38.7"
"5183","L52361","L","304.0","313.1","1720","28.7"
"5184","L52362","L","303.9","313.1","1586","31.9"
"5185","M20043","M","303.9","313","1901","22.5"
"5186","L52364","L","304.0","313","1397","42.4"
"5187","L52365","L","304.0","313","2012","21.1"
"5188","L52366","L","304.0","313","2354","15.0"
"5189","L52367","L","304.0","313.1","1648","35.7"
"5190","L52368","L","304.0","313.2","1632","30.6"
"5191","M20049","M","304.1","313.2","1427","46.9"
"5192","L52370","L","304.1","313.2","1452","48.0"
"5193","L52371","L","304.0","313.2","1416","46.0"
"5194","L52372","L","303.9","313.1","1310","62.9"
"5195","H34607","H","304.0","313.1","1408","39.8"
"5196","M20054","M","303.9","313.1","1668","34.4"
"5197","L52375","L","303.9","313","1551","36.8"
"5198","H34610","H","303.9","313","1517","36.0"
"5199","H34611","H","303.8","312.9","1570","35.8"
"5200","L52378","L","303.8","312.8","1428","53.3"
"5201","L52379","L","303.8","312.8","1503","40.0"
"5202","L52380","L","303.8","312.8","1416","58.7"
"5203","M20061","M","303.7","312.7","1396","47.3"
"5204","L52382","L","303.7","312.7","1335","51.1"
"5205","M20063","M","303.7","312.6","1671","30.5"
"5206","L52384","L","303.7","312.7","1989","22.4"
"5207","L52385","L","303.7","312.7","1468","43.3"
"5208","H34620","H","303.7","312.6","1711","27.6"
"5209","M20067","M","303.8","312.7","1488","41.3"
"5210","L52388","L","303.8","312.7","1664","29.3"
"5211","M20069","M","303.8","312.7","1507","38.5"
"5212","L52390","L","303.7","312.6","1466","42.5"
"5213","L52391","L","303.7","312.5","1433","53.6"
"5214","L52392","L","303.7","312.5","1397","45.7"
"5215","M20073","M","303.7","312.6","1429","43.3"
"5216","L52394","L","303.7","312.7","1572","37.2"
"5217","M20075","M","303.7","312.7","1532","42.7"
"5218","M20076","M","303.7","312.7","1316","51.8"
"5219","M20077","M","303.8","312.8","1420","47.9"
"5220","L52398","L","303.8","312.9","1589","37.2"
"5221","L52399","L","303.8","313","1365","59.9"
"5222","L52400","L","303.8","313","1633","32.9"
"5223","L52401","L","303.9","313","1626","31.4"
"5224","L52402","L","303.9","313.1","1665","29.6"
"5225","M20083","M","303.9","313.2","1350","47.2"
"5226","L52404","L","303.9","313.2","1590","31.9"
"5227","M20085","M","304.0","313.2","1437","53.9"
"5228","L52406","L","303.9","313","1403","48.3"
"5229","L52407","L","303.9","313.1","1440","41.1"
"5230","M20088","M","303.9","313.1","1343","61.4"
"5231","H34643","H","303.9","313.1","1790","26.7"
"5232","M20090","M","303.8","313.1","2117","18.6"
"5233","L52411","L","303.8","313.1","1458","42.2"
"5234","L52412","L","303.6","312.9","1381","57.8"
"5235","L52413","L","303.6","312.9","1450","45.3"
"5236","L52414","L","303.7","312.9","1461","50.1"
"5237","M20095","M","303.7","312.9","1511","41.0"
"5238","L52416","L","303.8","313.1","1394","45.4"
"5239","L52417","L","303.8","313","1499","42.3"
"5240","L52418","L","303.7","313","1457","44.1"
"5241","L52419","L","303.7","313","1753","29.0"
"5242","L52420","L","303.7","313","1694","28.0"
"5243","L52421","L","303.7","313.1","1683","28.4"
"5244","L52422","L","303.7","313.1","1496","47.4"
"5245","L52423","L","303.7","313.1","1721","34.8"
"5246","L52424","L","303.6","313","1593","31.6"
"5247","L52425","L","303.6","313","1575","38.3"
"5248","L52426","L","303.5","313","1465","41.0"
"5249","L52427","L","303.6","313.1","1405","38.3"
"5250","M20108","M","303.5","313","1902","21.6"
"5251","M20109","M","303.4","312.9","1422","39.9"
"5252","L52430","L","303.5","312.9","1332","52.9"
"5253","M20111","M","303.4","312.9","1307","54.3"
"5254","L52432","L","303.5","313","1322","59.5"
"5255","L52433","L","303.5","313","1547","40.3"
"5256","L52434","L","303.5","313.1","1897","23.6"
"5257","M20115","M","303.5","313","1403","51.9"
"5258","L52436","L","303.5","313","1393","51.6"
"5259","L52437","L","303.5","313","1482","38.5"
"5260","M20118","M","303.5","312.9","1572","44.7"
"5261","L52439","L","303.5","312.9","1544","36.9"
"5262","M20120","M","303.5","313","1492","46.1"
"5263","L52441","L","303.4","312.8","1513","35.8"
"5264","L52442","L","303.4","312.8","1449","43.9"
"5265","L52443","L","303.5","312.8","1877","22.3"
"5266","L52444","L","303.4","312.8","1376","53.4"
"5267","M20125","M","303.5","312.9","1883","23.3"
"5268","M20126","M","303.4","312.8","1518","38.7"
"5269","M20127","M","303.5","312.9","1438","42.8"
"5270","L52448","L","303.4","312.9","1389","54.1"
"5271","L52449","L","303.5","312.9","1504","44.8"
"5272","L52450","L","303.5","312.9","1275","64.4"
"5273","L52451","L","303.6","313","1534","39.7"
"5274","M20132","M","303.6","313","1396","38.2"
"5275","L52453","L","303.6","313.1","1395","44.1"
"5276","L52454","L","303.6","313","1617","30.9"
"5277","L52455","L","303.7","313.1","1423","41.2"
"5278","L52456","L","303.5","313","1606","34.0"
"5279","L52457","L","303.5","312.9","1501","44.0"
"5280","M20138","M","303.5","312.9","1618","30.4"
"5281","L52459","L","303.6","313","1522","35.8"
"5282","L52460","L","303.6","312.9","1480","41.4"
"5283","M20141","M","303.7","313","1469","39.9"
"5284","H34696","H","303.8","313.2","1381","52.4"
"5285","L52463","L","303.8","313.2","1525","41.9"
"5286","M20144","M","303.8","313.2","1732","29.6"
"5287","L52465","L","303.8","313.1","1523","39.8"
"5288","L52466","L","303.8","313.1","1422","42.4"
"5289","H34701","H","303.8","313.2","1506","46.9"
"5290","L52468","L","303.8","313.2","1531","39.4"
"5291","M20149","M","303.9","313.3","1507","34.3"
"5292","L52470","L","303.9","313.3","1526","40.7"
"5293","L52471","L","303.8","313.3","1406","52.1"
"5294","M20152","M","303.9","313.3","1567","35.0"
"5295","M20153","M","303.9","313.4","1464","49.1"
"5296","L52474","L","303.9","313.4","1442","48.5"
"5297","L52475","L","303.8","313.2","1336","47.8"
"5298","H34710","H","303.8","313.2","1379","50.2"
"5299","L52477","L","303.7","313.1","1406","48.6"
"5300","M20158","M","303.7","313.1","2130","18.1"
"5301","L52479","L","303.7","313.1","1355","49.1"
"5302","M20160","M","303.8","313.2","1710","26.5"
"5303","L52481","L","303.8","313.1","1309","55.8"
"5304","L52482","L","303.9","313.1","1491","37.2"
"5305","L52483","L","303.9","313.2","1481","44.1"
"5306","L52484","L","303.9","313.1","1425","49.3"
"5307","H34719","H","303.9","313.2","1680","29.1"
"5308","H34720","H","304.0","313.2","1612","31.7"
"5309","L52487","L","304.0","313.3","1530","34.8"
"5310","L52488","L","304.0","313.2","1481","42.6"
"5311","M20169","M","303.9","313.2","1422","48.0"
"5312","L52490","L","303.8","313","1427","43.0"
"5313","H34725","H","303.7","312.9","1460","49.8"
"5314","L52492","L","303.6","312.9","1873","23.5"
"5315","M20173","M","303.7","312.9","1566","32.6"
"5316","L52494","L","303.6","312.8","1701","30.8"
"5317","L52495","L","303.6","312.8","1710","27.2"
"5318","M20176","M","303.6","312.8","1689","33.1"
"5319","L52497","L","303.6","312.7","1637","32.9"
"5320","L52498","L","303.5","312.6","1496","39.0"
"5321","M20179","M","303.5","312.7","1402","47.0"
"5322","L52500","L","303.4","312.7","1363","45.5"
"5323","M20181","M","303.4","312.7","1576","49.9"
"5324","M20182","M","303.4","312.7","1357","55.3"
"5325","M20183","M","303.4","312.7","1399","48.4"
"5326","M20184","M","303.4","312.8","1526","30.8"
"5327","L52505","L","303.5","312.7","1694","27.3"
"5328","M20186","M","303.5","312.7","1420","49.1"
"5329","M20187","M","303.5","312.7","2116","16.7"
"5330","M20188","M","303.7","312.9","1406","41.9"
"5331","L52509","L","303.7","313","1456","45.5"
"5332","L52510","L","303.6","312.9","1588","31.9"
"5333","L52511","L","303.7","312.8","1448","44.5"
"5334","H34746","H","303.6","312.7","1403","46.2"
"5335","M20193","M","303.5","312.6","1405","51.6"
"5336","M20194","M","303.4","312.6","2706","9.8"
"5337","M20195","M","303.3","312.4","1505","38.9"
"5338","L52516","L","303.2","312.4","1663","33.7"
"5339","M20197","M","303.3","312.6","1482","44.4"
"5340","M20198","M","303.3","312.5","1674","32.7"
"5341","M20199","M","303.4","312.7","1594","32.8"
"5342","L52520","L","303.5","312.7","1393","49.3"
"5343","H34755","H","303.5","312.8","1404","55.8"
"5344","M20202","M","303.5","312.8","1375","45.7"
"5345","L52523","L","303.5","312.8","1607","38.4"
"5346","L52524","L","303.4","312.8","1360","50.8"
"5347","L52525","L","303.5","312.8","1524","39.4"
"5348","L52526","L","303.4","312.7","1534","35.5"
"5349","L52527","L","303.3","312.7","1262","63.8"
"5350","L52528","L","303.3","312.6","1623","34.6"
"5351","M20209","M","303.3","312.7","1642","33.6"
"5352","M20210","M","303.4","312.8","1622","35.1"
"5353","M20211","M","303.5","312.9","1530","34.5"
"5354","M20212","M","303.4","312.8","1590","36.3"
"5355","L52533","L","303.4","312.7","1589","34.0"
"5356","L52534","L","303.4","312.6","1462","37.5"
"5357","H34769","H","303.3","312.5","1328","49.8"
"5358","H34770","H","303.3","312.6","1692","29.0"
"5359","L52537","L","303.3","312.5","1968","20.6"
"5360","H34772","H","303.3","312.6","1827","24.2"
"5361","M20219","M","303.3","312.6","1397","47.1"
"5362","L52540","L","303.3","312.6","1463","44.0"
"5363","L52541","L","303.3","312.7","1643","30.7"
"5364","L52542","L","303.2","312.6","1281","57.0"
"5365","L52543","L","303.2","312.5","1518","39.9"
"5366","L52544","L","303.2","312.6","1601","35.3"
"5367","L52545","L","303.1","312.6","1548","36.4"
"5368","H34780","H","303.1","312.6","1404","40.6"
"5369","M20227","M","303.1","312.5","1766","26.7"
"5370","M20228","M","303.1","312.5","1667","30.0"
"5371","H34783","H","303.0","312.5","1507","37.9"
"5372","H34784","H","303.0","312.4","1627","37.1"
"5373","L52551","L","302.9","312.3","1435","47.7"
"5374","H34786","H","302.9","312.3","1509","46.8"
"5375","M20233","M","302.9","312.3","1809","25.0"
"5376","L52554","L","302.9","312.3","1515","40.8"
"5377","L52555","L","302.9","312.3","1530","34.9"
"5378","H34790","H","302.8","312.3","1336","57.5"
"5379","L52557","L","302.9","312.4","2030","19.1"
"5380","L52558","L","302.9","312.4","1550","36.9"
"5381","L52559","L","302.9","312.4","1446","41.7"
"5382","L52560","L","302.8","312.3","1494","37.5"
"5383","L52561","L","302.8","312.4","1651","27.0"
"5384","L52562","L","302.9","312.4","1698","33.8"
"5385","L52563","L","302.8","312.3","1504","40.3"
"5386","M20244","M","302.9","312.4","1421","46.0"
"5387","H34799","H","302.9","312.3","1754","26.9"
"5388","L52566","L","302.9","312.2","1469","42.0"
"5389","L52567","L","302.8","312.2","1433","50.0"
"5390","M20248","M","302.8","312.3","1432","49.0"
"5391","L52569","L","302.8","312.3","1366","49.1"
"5392","H34804","H","302.8","312.3","1483","47.2"
"5393","L52571","L","302.7","312.2","1572","34.4"
"5394","L52572","L","302.8","312.2","1481","40.2"
"5395","L52573","L","302.8","312.3","1473","42.6"
"5396","M20254","M","302.8","312.3","1262","70.5"
"5397","L52575","L","302.8","312.4","1529","36.8"
"5398","L52576","L","302.8","312.4","1523","39.7"
"5399","M20257","M","302.8","312.3","1416","42.7"
"5400","L52578","L","302.9","312.4","1923","23.9"
"5401","H34813","H","302.8","312.4","1411","53.8"
"5402","L52580","L","302.7","312.4","1477","46.3"
"5403","M20261","M","302.6","312.3","1454","54.8"
"5404","L52582","L","302.7","312.3","1421","48.5"
"5405","L52583","L","302.7","312.3","1858","25.4"
"5406","H34818","H","302.8","312.5","1422","46.1"
"5407","L52585","L","302.7","312.4","1444","48.7"
"5408","L52586","L","302.7","312.4","1360","47.8"
"5409","L52587","L","302.7","312.4","1954","24.8"
"5410","L52588","L","302.6","312.4","1628","33.0"
"5411","L52589","L","302.7","312.4","1433","44.2"
"5412","M20270","M","302.7","312.5","1417","51.5"
"5413","L52591","L","302.8","312.6","1462","39.4"
"5414","L52592","L","302.9","312.6","1328","59.9"
"5415","H34827","H","302.7","312.5","1527","36.4"
"5416","L52594","L","302.6","312.3","1534","34.3"
"5417","M20275","M","302.6","312.4","1410","50.3"
"5418","L52596","L","302.6","312.3","1660","30.3"
"5419","L52597","L","302.6","312.4","1386","45.8"
"5420","L52598","L","302.6","312.4","1398","41.6"
"5421","L52599","L","302.6","312.3","1321","53.4"
"5422","L52600","L","302.6","312.3","1512","34.2"
"5423","M20281","M","302.6","312.3","1566","36.6"
"5424","M20282","M","302.7","312.4","1422","44.5"
"5425","L52603","L","302.6","312.3","1647","31.8"
"5426","L52604","L","302.6","312.2","1377","45.5"
"5427","L52605","L","302.5","312.2","1775","27.9"
"5428","L52606","L","302.6","312.3","1554","42.0"
"5429","L52607","L","302.7","312.4","1423","51.9"
"5430","L52608","L","302.7","312.4","1453","47.3"
"5431","L52609","L","302.8","312.4","1590","34.4"
"5432","L52610","L","302.8","312.5","1694","28.4"
"5433","L52611","L","302.8","312.5","1462","43.4"
"5434","L52612","L","302.8","312.4","1392","46.2"
"5435","L52613","L","302.9","312.5","1550","45.5"
"5436","L52614","L","302.9","312.5","1629","30.4"
"5437","M20295","M","303.0","312.5","1524","42.1"
"5438","M20296","M","302.9","312.5","1679","30.9"
"5439","M20297","M","302.9","312.6","1394","46.4"
"5440","L52618","L","302.9","312.5","1683","32.1"
"5441","L52619","L","303.0","312.5","1626","30.5"
"5442","H34854","H","303.0","312.5","1698","30.0"
"5443","M20301","M","303.0","312.6","1392","42.9"
"5444","L52622","L","303.1","312.7","1353","51.8"
"5445","M20303","M","303.0","312.7","1426","46.8"
"5446","L52624","L","303.0","312.7","2024","19.9"
"5447","M20305","M","303.0","312.8","1648","32.1"
"5448","L52626","L","303.1","312.9","1511","40.1"
"5449","L52627","L","303.1","312.8","1465","44.1"
"5450","L52628","L","303.0","312.7","1551","41.8"
"5451","L52629","L","303.1","312.8","2329","15.1"
"5452","H34864","H","303.1","312.8","1435","41.9"
"5453","L52631","L","303.0","312.7","1361","48.8"
"5454","M20312","M","303.0","312.7","1553","35.8"
"5455","L52633","L","303.0","312.6","1451","42.1"
"5456","L52634","L","303.0","312.5","1461","40.2"
"5457","M20315","M","303.1","312.6","1895","23.5"
"5458","M20316","M","303.1","312.6","1567","32.9"
"5459","M20317","M","303.0","312.5","1602","33.7"
"5460","L52638","L","303.1","312.6","1514","42.1"
"5461","L52639","L","303.1","312.5","1453","49.1"
"5462","M20320","M","303.0","312.4","1526","36.1"
"5463","M20321","M","302.9","312.3","1339","52.1"
"5464","L52642","L","302.9","312.3","1889","22.8"
"5465","L52643","L","302.9","312.4","1561","34.8"
"5466","M20324","M","302.9","312.4","1659","33.1"
"5467","L52645","L","302.9","312.4","1424","49.5"
"5468","M20326","M","302.9","312.3","1426","44.7"
"5469","L52647","L","302.9","312.4","1383","51.4"
"5470","L52648","L","302.8","312.3","1764","29.9"
"5471","M20329","M","302.7","312.2","1439","42.5"
"5472","M20330","M","302.7","312.2","1585","35.5"
"5473","L52651","L","302.7","312.3","1346","61.2"
"5474","L52652","L","302.8","312.3","1386","57.8"
"5475","L52653","L","302.7","312.2","1369","51.8"
"5476","M20334","M","302.7","312.1","1378","46.9"
"5477","L52655","L","302.7","312.2","1336","46.8"
"5478","M20336","M","302.6","312.1","1445","42.0"
"5479","L52657","L","302.7","312.1","1763","26.5"
"5480","L52658","L","302.7","312.2","1611","34.1"
"5481","M20339","M","302.7","312.1","1564","32.1"
"5482","H34894","H","302.7","312.1","1478","36.0"
"5483","L52661","L","302.6","312","1781","28.5"
"5484","L52662","L","302.6","312.1","1782","26.8"
"5485","M20343","M","302.6","312.1","2000","21.9"
"5486","M20344","M","302.5","312","1826","25.3"
"5487","L52665","L","302.6","312.1","1344","51.0"
"5488","L52666","L","302.6","312.2","1520","43.0"
"5489","M20347","M","302.6","312.1","1611","39.9"
"5490","L52668","L","302.7","312.2","1450","52.1"
"5491","L52669","L","302.6","312.1","1499","35.0"
"5492","L52670","L","302.6","312.1","1288","68.5"
"5493","M20351","M","302.7","312.2","1350","58.6"
"5494","M20352","M","302.9","312.4","1334","50.9"
"5495","L52673","L","302.8","312.4","1376","57.1"
"5496","L52674","L","302.8","312.4","1368","49.5"
"5497","H34909","H","302.9","312.5","1357","55.0"
"5498","M20356","M","302.9","312.5","1924","24.0"
"5499","M20357","M","302.9","312.5","1551","40.0"
"5500","M20358","M","302.9","312.5","1903","21.2"
"5501","H34913","H","302.9","312.3","1417","48.7"
"5502","L52680","L","302.7","312.1","1601","35.2"
"5503","L52681","L","302.7","312.1","1543","37.5"
"5504","L52682","L","302.6","312.1","1439","52.3"
"5505","H34917","H","302.6","312","1657","29.3"
"5506","L52684","L","302.8","312.2","1458","51.0"
"5507","L52685","L","302.8","312.2","1746","27.4"
"5508","L52686","L","302.9","312.2","1677","30.5"
"5509","L52687","L","302.8","312.1","1520","39.9"
"5510","L52688","L","302.9","312.2","1367","55.1"
"5511","L52689","L","302.8","312.2","1509","36.5"
"5512","L52690","L","302.8","312.1","1418","51.4"
"5513","L52691","L","302.8","312.1","1958","20.3"
"5514","L52692","L","302.8","312.2","1682","30.9"
"5515","M20373","M","302.8","312.2","1452","50.3"
"5516","L52694","L","302.7","312","1828","24.0"
"5517","H34929","H","302.7","312","1484","41.5"
"5518","L52696","L","302.6","312","1674","32.2"
"5519","L52697","L","302.6","311.9","1448","49.5"
"5520","M20378","M","302.5","311.8","2023","19.1"
"5521","L52699","L","302.5","311.9","1452","47.4"
"5522","M20380","M","302.6","312","1496","45.0"
"5523","L52701","L","302.6","311.9","1397","46.9"
"5524","L52702","L","302.6","311.9","1453","39.1"
"5525","M20383","M","302.5","311.9","1524","34.8"
"5526","L52704","L","302.6","311.9","1633","30.9"
"5527","M20385","M","302.6","312","1363","45.7"
"5528","L52706","L","302.5","311.9","1520","44.9"
"5529","M20387","M","302.5","311.9","1532","38.8"
"5530","L52708","L","302.4","311.8","1384","50.9"
"5531","M20389","M","302.4","311.8","1539","39.9"
"5532","M20390","M","302.3","311.8","1355","50.1"
"5533","M20391","M","302.3","311.7","1504","37.3"
"5534","L52712","L","302.4","311.8","1476","46.6"
"5535","L52713","L","302.4","311.7","1721","26.9"
"5536","M20394","M","302.3","311.7","1494","37.1"
"5537","L52715","L","302.3","311.7","1465","43.5"
"5538","M20396","M","302.3","311.8","1363","54.0"
"5539","L52717","L","302.4","311.8","1648","30.0"
"5540","M20398","M","302.3","311.8","1879","23.0"
"5541","H34953","H","302.3","311.7","1482","39.0"
"5542","L52720","L","302.4","311.8","1493","38.4"
"5543","L52721","L","302.4","311.8","1433","42.2"
"5544","L52722","L","302.3","311.7","1400","41.6"
"5545","L52723","L","302.4","311.8","1255","59.0"
"5546","L52724","L","302.2","311.7","1471","45.6"
"5547","H34959","H","302.2","311.6","1357","44.2"
"5548","L52726","L","302.3","311.7","1453","41.2"
"5549","M20407","M","302.3","311.7","1540","28.9"
"5550","L52728","L","302.3","311.8","1605","35.2"
"5551","H34963","H","302.3","311.9","1374","52.4"
"5552","M20410","M","302.3","311.9","1508","42.3"
"5553","H34965","H","302.4","311.9","1366","47.3"
"5554","H34966","H","302.5","312","1579","35.7"
"5555","L52733","L","302.5","311.9","1306","59.7"
"5556","M20414","M","302.5","312","1521","40.2"
"5557","L52735","L","302.5","312","1411","44.2"
"5558","H34970","H","302.5","312","1357","42.0"
"5559","M20417","M","302.5","312","1436","43.5"
"5560","L52738","L","302.5","311.9","1553","40.1"
"5561","M20419","M","302.5","312","1451","43.2"
"5562","L52740","L","302.4","311.9","1541","37.9"
"5563","M20421","M","302.3","311.7","1341","46.3"
"5564","L52742","L","302.3","311.7","1648","32.1"
"5565","M20423","M","302.3","311.7","1640","31.5"
"5566","L52744","L","302.4","311.8","1416","46.1"
"5567","L52745","L","302.4","311.9","1671","29.9"
"5568","L52746","L","302.4","312","1457","45.5"
"5569","M20427","M","302.5","312","1445","54.8"
"5570","L52748","L","302.5","312.1","1534","38.6"
"5571","L52749","L","302.4","312","1508","36.9"
"5572","M20430","M","302.4","312.1","1492","47.7"
"5573","L52751","L","302.4","312","1562","37.9"
"5574","L52752","L","302.4","312","1545","36.4"
"5575","L52753","L","302.5","312.2","1738","25.3"
"5576","L52754","L","302.4","312","1305","49.1"
"5577","H34989","H","302.4","312","1477","39.7"
"5578","H34990","H","302.4","312","1457","43.4"
"5579","L52757","L","302.4","312.1","1455","40.4"
"5580","L52758","L","302.5","312.2","1574","38.7"
"5581","L52759","L","302.6","312.2","1695","27.1"
"5582","M20440","M","302.6","312.2","1458","38.8"
